age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,target
62,Private,167652,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0
44,Local-gov,145246,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,44,United-States,1
63,Federal-gov,95680,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,18,United-States,1
48,Private,177211,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
57,Self-emp-not-inc,177271,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,0
34,Private,242984,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,48,United-States,0
56,Private,182460,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
26,Private,134888,Bachelors,13,Never-married,Tech-support,Own-child,White,Female,0,0,35,United-States,0
68,Private,253866,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,0
47,Private,209212,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,56,,0
46,Local-gov,359193,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,0
20,Private,196745,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,0
32,Private,162675,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,Cuba,0
34,Self-emp-not-inc,203488,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,0
22,Private,242138,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
58,Private,100054,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,70,United-States,1
31,Self-emp-inc,264554,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1977,40,United-States,1
25,Private,68302,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
