v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,target
39,management,married,tertiary,no,622,no,no,cellular,19,nov,145,1,-1,0,unknown,0
45,technician,divorced,secondary,no,5862,yes,no,cellular,18,nov,352,1,110,3,other,0
32,management,single,tertiary,no,2069,no,no,cellular,22,apr,545,1,-1,0,unknown,1
56,technician,married,secondary,no,64,no,no,cellular,19,aug,35,4,-1,0,unknown,0
37,technician,married,tertiary,no,905,yes,no,cellular,25,aug,111,7,-1,0,unknown,0
30,unemployed,single,secondary,no,500,yes,no,unknown,2,jun,178,2,-1,0,unknown,0
54,unknown,married,unknown,no,390,no,no,cellular,20,aug,68,5,-1,0,unknown,0
41,management,single,tertiary,no,260,no,no,cellular,4,aug,149,1,-1,0,unknown,0
43,housemaid,married,primary,no,1283,no,no,cellular,5,aug,448,1,-1,0,unknown,0
27,student,single,secondary,no,274,no,no,cellular,27,may,283,1,-1,0,unknown,0
50,blue-collar,divorced,secondary,no,2402,yes,no,unknown,19,may,219,1,-1,0,unknown,0
36,management,single,tertiary,no,317,no,no,unknown,16,jun,348,1,-1,0,unknown,0
30,management,married,tertiary,no,233,yes,no,unknown,14,may,382,10,-1,0,unknown,0
37,blue-collar,single,secondary,no,3764,no,no,unknown,16,jun,431,1,-1,0,unknown,0
55,admin.,single,secondary,no,2359,yes,no,telephone,20,apr,43,3,-1,0,unknown,0
48,technician,married,secondary,no,504,no,yes,cellular,6,aug,227,3,-1,0,unknown,0
57,retired,single,tertiary,no,842,no,no,cellular,13,aug,284,3,-1,0,unknown,1
31,management,single,tertiary,no,8436,yes,no,cellular,19,nov,162,2,-1,0,unknown,0
30,blue-collar,single,unknown,no,0,yes,no,unknown,19,may,199,1,-1,0,unknown,0
48,technician,divorced,secondary,no,1290,no,no,unknown,16,jun,58,1,-1,0,unknown,0
37,admin.,married,tertiary,no,801,no,no,cellular,11,aug,331,7,-1,0,unknown,0
30,management,single,tertiary,no,112,yes,yes,cellular,12,may,451,2,349,2,failure,0
49,management,divorced,tertiary,no,2564,yes,no,cellular,31,jul,744,8,-1,0,unknown,0
33,admin.,divorced,secondary,no,661,yes,no,cellular,11,aug,108,1,99,7,failure,0
34,technician,married,secondary,no,139,yes,yes,unknown,6,jun,52,13,-1,0,unknown,0
33,technician,married,secondary,no,0,no,no,cellular,19,aug,78,3,-1,0,unknown,0
30,self-employed,single,secondary,no,-617,no,yes,cellular,19,nov,925,1,-1,0,unknown,1
34,technician,single,tertiary,no,783,no,no,cellular,8,jul,281,1,-1,0,unknown,0
57,management,married,tertiary,no,1660,no,no,cellular,4,aug,642,1,-1,0,unknown,1
40,services,married,secondary,no,473,yes,no,cellular,28,jul,383,3,-1,0,unknown,1
43,blue-collar,married,unknown,no,24,yes,no,unknown,13,may,23,2,-1,0,unknown,0
27,self-employed,married,tertiary,no,10005,yes,no,cellular,14,apr,163,3,271,2,failure,0
46,blue-collar,married,secondary,no,310,yes,no,cellular,24,jul,58,2,-1,0,unknown,0
40,blue-collar,married,secondary,no,11084,no,no,unknown,11,jun,113,1,-1,0,unknown,0
60,retired,married,tertiary,no,2868,no,no,unknown,20,jun,42,7,-1,0,unknown,0
29,student,single,secondary,no,1377,yes,no,cellular,3,aug,248,1,446,2,success,1
56,unknown,married,unknown,no,33,no,no,telephone,31,jul,26,15,-1,0,unknown,0
47,blue-collar,married,secondary,no,1348,no,yes,cellular,4,aug,255,1,-1,0,unknown,0
31,management,married,secondary,no,-453,yes,yes,cellular,17,jul,157,1,-1,0,unknown,0
34,technician,married,secondary,no,650,yes,no,unknown,30,may,184,2,-1,0,unknown,0
34,management,married,tertiary,no,46,yes,no,unknown,5,may,39,4,-1,0,unknown,0
31,management,married,tertiary,no,334,yes,no,unknown,13,may,449,1,-1,0,unknown,0
36,blue-collar,married,secondary,no,2454,yes,no,cellular,6,apr,1859,1,-1,0,unknown,0
53,self-employed,married,secondary,no,248,no,yes,cellular,17,nov,99,1,126,3,failure,0
38,management,married,tertiary,no,2548,yes,no,unknown,30,may,60,1,-1,0,unknown,0
41,self-employed,divorced,tertiary,no,4418,yes,no,cellular,21,nov,855,3,-1,0,unknown,0
45,retired,married,primary,no,1152,no,no,unknown,18,jun,234,2,-1,0,unknown,0
56,retired,married,secondary,no,0,no,no,cellular,6,aug,113,3,-1,0,unknown,0
49,management,divorced,tertiary,no,169,no,no,cellular,18,jul,141,1,-1,0,unknown,0
57,management,married,tertiary,no,5,yes,no,cellular,8,jul,96,1,-1,0,unknown,0
53,services,divorced,secondary,no,-223,no,no,unknown,20,jun,160,1,-1,0,unknown,0
36,self-employed,married,tertiary,no,16430,yes,no,cellular,19,nov,234,1,166,3,failure,0
39,blue-collar,married,secondary,no,8,no,no,cellular,30,jul,88,3,-1,0,unknown,0
37,admin.,divorced,secondary,no,295,yes,yes,cellular,11,may,202,3,265,2,failure,0
44,blue-collar,single,secondary,no,292,no,yes,cellular,17,jul,1153,4,-1,0,unknown,1
40,admin.,single,secondary,no,50,no,no,cellular,15,may,837,1,-1,0,unknown,1
43,entrepreneur,married,secondary,no,469,no,yes,cellular,20,aug,89,2,-1,0,unknown,0
