medinc,houseage,averooms,avebedrms,population,aveoccup,latitude,longitude,target
4.3397,24.0,6.508045977011494,1.0988505747126436,1582.0,3.636781609195402,34.06,-117.46,1.956
2.375,12.0,4.606914212548015,1.0601792573623559,2588.0,3.313700384122919,34.09,-117.44,1.138
1.9,15.0,6.742574257425742,1.2623762376237624,378.0,1.8712871287128714,33.63,-117.72,1.625
4.2115,34.0,5.474747474747475,0.9444444444444444,561.0,2.8333333333333335,38.35,-122.0,1.189
3.0938,6.0,4.979679144385027,1.0385026737967915,2320.0,2.481283422459893,35.41,-118.9,1.008
2.9013,19.0,6.090909090909091,1.1076555023923444,1257.0,3.007177033492823,36.65,-119.74,0.895
2.4821,26.0,4.125,1.1182432432432432,620.0,2.0945945945945947,32.76,-117.12,1.236
1.5433,11.0,4.462068965517242,1.0827586206896551,713.0,2.4586206896551723,36.32,-119.65,0.504
2.0549,44.0,3.8976833976833976,1.1872586872586872,1243.0,2.3996138996139,37.35,-121.89,1.938
2.662,13.0,7.1078838174273855,1.4107883817427387,643.0,2.66804979253112,37.57,-119.82,0.924
2.775,24.0,3.1007423117709436,1.0742311770943795,1492.0,1.5821845174973488,34.02,-118.5,2.917
1.5357,35.0,4.810495626822157,1.1370262390670554,1145.0,3.3381924198250728,35.34,-119.02,0.565
4.4387,20.0,5.563876651982379,1.0469897209985315,3637.0,2.670337738619677,37.94,-122.29,1.9
4.4219,34.0,5.850220264317181,1.0748898678414096,795.0,3.502202643171806,34.4,-118.98,3.381
1.6887,44.0,4.465587044534413,1.0728744939271255,760.0,3.076923076923077,33.94,-118.26,0.996
4.15,19.0,6.180451127819549,1.0075187969924813,457.0,3.43609022556391,38.51,-121.3,1.575
6.706,49.0,6.802020202020202,1.0565656565656565,1317.0,2.6606060606060606,34.11,-118.1,3.514
2.6597,38.0,4.336842105263158,0.9789473684210527,304.0,3.2,38.87,-121.69,0.86
2.3319,15.0,5.488745980707395,1.0707395498392283,2097.0,3.3713826366559485,32.68,-115.48,0.912
1.9028,51.0,4.0561224489795915,1.0561224489795917,949.0,2.420918367346939,37.8,-122.23,1.279
6.2917,14.0,7.310262529832936,1.0167064439140812,1570.0,3.747016706443914,34.04,-117.21,2.247
4.2312,16.0,5.771754636233951,1.042796005706134,1684.0,2.4022824536376604,32.82,-117.05,1.97
3.7891,10.0,3.750556792873051,1.1469933184855234,902.0,2.0089086859688194,33.16,-117.35,2.063
2.6812,43.0,5.843023255813954,1.1627906976744187,492.0,2.86046511627907,37.98,-121.27,0.728
3.8,31.0,4.791744840525328,0.9662288930581614,1507.0,2.827392120075047,38.25,-122.64,1.626
3.5789,28.0,5.278438030560272,1.0084889643463497,1559.0,2.646859083191851,32.73,-117.09,1.203
3.9519,15.0,6.907496012759171,1.1148325358851674,2046.0,3.263157894736842,32.64,-116.99,1.935
6.0884,33.0,5.819148936170213,1.0070921985815602,659.0,2.3368794326241136,37.41,-122.11,4.329
2.0817,35.0,4.481481481481482,1.0722222222222222,2010.0,3.7222222222222223,33.9,-118.21,1.046
2.6781,33.0,3.9130434782608696,1.1358695652173914,1416.0,1.923913043478261,34.05,-118.35,3.288
